City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
191,Tonbridge,GB,51.19,0.28,55.0,92,0,1.01,clear sky
192,Launceston,AU,-41.45,147.17,60.01,62,90,5.82,overcast clouds
193,Churapcha,RU,62.0,132.43,16.81,96,95,2.51,overcast clouds
194,Liverpool,GB,53.41,-2.98,51.8,81,40,11.41,scattered clouds
195,Tambacounda,SN,13.75,-13.76,78.8,88,100,4.7,overcast clouds
196,Quelimane,MZ,-17.88,36.89,70.75,86,0,3.51,clear sky
197,Conde,BR,-7.26,-34.91,77.0,94,75,5.82,broken clouds
198,Viedma,AR,-40.81,-63.0,55.0,67,94,4.0,overcast clouds
199,Inhambane,MZ,-23.86,35.38,71.38,87,9,8.57,clear sky
200,Torbay,CA,47.67,-52.73,46.99,93,90,8.05,overcast clouds
201,La Playona,HN,15.12,-88.98,75.47,69,94,1.21,overcast clouds
202,Ribeira Grande,PT,38.52,-28.7,63.37,70,98,17.6,overcast clouds
203,Lasa,IT,46.62,10.7,51.01,100,5,3.15,clear sky
204,Sinnamary,GF,5.38,-52.95,79.79,83,0,9.62,clear sky
205,Marakkanam,IN,12.2,79.95,79.2,82,100,4.88,heavy intensity rain
206,Upernavik,GL,72.79,-56.15,23.99,95,62,4.34,broken clouds
207,Veraval,IN,20.9,70.37,80.96,79,1,11.7,clear sky
208,Kodiak,US,57.79,-152.41,46.4,52,1,12.75,clear sky
209,Korla,CN,41.76,86.15,44.04,53,0,0.63,clear sky
210,Sale,MA,34.04,-6.82,66.0,93,75,5.82,broken clouds
211,Guerrero Negro,MX,27.98,-114.06,69.1,82,0,12.37,clear sky
212,Kahta,TR,37.79,38.62,66.2,32,0,5.82,clear sky
213,Pabbi,PK,34.01,71.8,62.6,72,0,2.28,haze
214,Russkaya Polyana,UA,49.42,31.92,49.44,68,100,4.61,light rain
215,Qaqortoq,GL,60.72,-46.03,30.2,80,93,2.24,overcast clouds
216,Nemuro,JP,43.32,145.57,55.4,76,75,5.82,broken clouds
217,Roebourne,AU,-20.78,117.13,84.52,25,1,5.03,clear sky
218,Tasiilaq,GL,65.61,-37.64,30.2,80,100,4.7,overcast clouds
219,Revuca,SK,48.68,20.12,44.01,93,0,4.7,clear sky
220,Micheweni,TZ,-4.97,39.83,77.07,87,18,9.26,light rain
221,Saint-Philippe,RE,-21.36,55.77,69.01,68,88,8.05,overcast clouds
222,Sakaiminato,JP,35.55,133.23,60.8,93,90,1.12,light rain
223,Saint-Francois,FR,46.42,3.91,61.0,67,100,5.82,overcast clouds
224,Olinda,BR,-8.01,-34.86,80.6,78,75,12.75,broken clouds
225,Shache,CN,38.42,77.24,40.39,57,0,3.6,clear sky
226,Yinchuan,CN,38.47,106.27,43.97,46,0,2.66,clear sky
227,Myanaung,MM,18.28,95.32,75.72,90,3,2.89,clear sky
