City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
285,Mae Hong Son,TH,75.2,broken clouds,19.3,97.97,Baiyoke Chalet Hotel
286,Hurricane,US,78.8,clear sky,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
287,Codrington,AU,59.76,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
292,Longhua,CN,68.92,overcast clouds,23.61,114.19,Huadu Hotel
293,Tevaitoa,PF,79.97,broken clouds,-16.78,-151.5,Hôtel Raiatea Lodge
295,Los Algarrobos,PA,78.01,overcast clouds,8.5,-82.43,Waterfall Hostel
298,Pocone,BR,79.86,clear sky,-16.26,-56.62,Hotel e Churrascaria Pantaneira
300,Richards Bay,ZA,62.85,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
304,Changde,CN,63.86,clear sky,29.05,111.68,Kangshida Hotel
310,Salamanca,ES,53.01,overcast clouds,40.83,-6.0,Palacio Carrascalino
311,Ballina,AU,68.0,light rain,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
312,Coquimbo,CL,53.6,clear sky,-29.95,-71.34,Hotel San Juan
314,Tay Ninh,VN,78.26,broken clouds,11.3,106.1,Thanh Tuyền Hotel
316,Richmond,US,69.01,clear sky,37.55,-77.46,Holiday Inn Express Richmond - Downtown
318,Tooele,US,61.0,clear sky,40.53,-112.3,Holiday Inn Express & Suites Tooele
320,Tura,IN,71.85,clear sky,25.52,90.22,Hotel RIKMAN Continental
323,Brigantine,US,66.2,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
324,Cururupu,BR,75.34,scattered clouds,-1.83,-44.87,Pousada Través'cia
325,Butembo,CD,57.18,overcast clouds,0.15,29.28,Hotel Butembo
326,Sirhind,IN,64.83,clear sky,30.65,76.38,OYO 45903 Royal Guest House
327,Luderitz,NM,58.08,scattered clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
328,Barcelos,PT,57.2,few clouds,41.54,-8.62,Hotel Do Terço
329,Bonthe,SL,77.77,light rain,7.53,-12.51,Bonthe Holiday Village
331,Bambous Virieux,MU,73.4,few clouds,-20.34,57.76,Casa Tia Villa
335,Prieska,ZA,62.91,clear sky,-29.66,22.75,Avenue GuestHouse
342,Mayumba,GA,76.8,moderate rain,-3.43,10.66,LIKWALE LODGE
348,Grants,US,62.6,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
349,Imbituba,BR,71.6,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
350,La Rioja,ES,60.8,overcast clouds,42.25,-2.5,Casa Concejos
351,Benghazi,LY,68.18,light rain,32.12,20.07,Tibesti Hotel
352,Inirida,CO,76.33,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
355,Victoria,HK,75.0,scattered clouds,22.29,114.16,Mini Hotel Central
357,Portlethen,GB,51.8,light rain,57.05,-2.13,Premier Inn Aberdeen South (Portlethen) hotel
358,Norden,DE,57.2,broken clouds,53.6,7.2,Hotel Aquarius
359,Akashi,JP,70.0,broken clouds,34.63,134.98,Green Hill Hotel Akashi
