City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Turukhansk,RU,2020-10-15 03:22:24,65.82,87.98,25.61,98,82,10.54
175,Antofagasta,CL,2020-10-15 03:22:24,-23.65,-70.4,59.0,72,90,6.93
176,San Pedro,PH,2020-10-15 03:22:25,14.35,121.02,88.0,66,75,6.93
177,Rawson,AR,2020-10-15 03:22:25,-43.3,-65.1,54.82,39,63,25.19
178,Lebu,CL,2020-10-15 03:17:30,-37.62,-73.65,50.49,84,0,14.94
179,Oistins,BB,2020-10-15 03:20:56,13.07,-59.53,75.2,94,20,5.82
180,Shellbrook,CA,2020-10-15 03:22:25,53.22,-106.4,32.0,87,75,11.41
181,Pleasanton,US,2020-10-15 03:18:04,37.66,-121.87,78.8,19,1,6.93
182,Bengkulu,ID,2020-10-15 03:22:25,-3.8,102.27,83.61,68,99,3.53
183,Tasiilaq,GL,2020-10-15 03:19:36,65.61,-37.64,35.6,89,90,2.24
184,Dauriya,RU,2020-10-15 03:22:26,49.93,116.87,34.32,75,12,14.29
185,Ponta Do Sol,PT,2020-10-15 03:18:32,32.67,-17.1,69.8,73,75,5.82
186,Pisco,PE,2020-10-15 03:19:47,-13.7,-76.22,63.0,82,3,9.17
187,Touros,BR,2020-10-15 03:22:26,-5.2,-35.46,75.2,88,40,4.7
188,Poum,NC,2020-10-15 03:21:12,-20.23,164.02,75.54,82,100,7.96
189,Baoying,CN,2020-10-15 03:22:26,33.23,119.31,66.04,61,100,10.25
190,Bredasdorp,ZA,2020-10-15 03:19:15,-34.53,20.04,46.4,93,13,1.12
191,Harper,LR,2020-10-15 03:22:27,4.38,-7.72,76.73,88,91,5.84
192,Puerto Colombia,CO,2020-10-15 03:20:50,10.99,-74.95,78.8,94,20,3.36
193,High Rock,BS,2020-10-15 03:22:26,26.62,-78.28,81.34,76,13,13.15
194,Weatherford,US,2020-10-15 03:22:27,32.76,-97.8,80.01,62,0,1.99
195,Nouadhibou,MR,2020-10-15 03:22:27,20.93,-17.03,82.4,48,74,12.75
196,Tiznit,MA,2020-10-15 03:22:27,29.58,-9.5,61.45,68,99,1.66
197,Darhan,MN,2020-10-15 03:22:27,49.49,105.92,40.66,60,46,8.01
198,Pedernales,DO,2020-10-15 03:22:28,18.04,-71.74,81.5,72,49,1.79
199,Lalibela,ET,2020-10-15 03:22:28,12.03,39.03,56.89,76,92,0.29
200,Sorong,ID,2020-10-15 03:22:28,-0.88,131.25,82.65,74,82,2.93
201,Uglovskoye,RU,2020-10-15 03:22:28,51.36,80.19,47.57,53,32,13.82
202,Shingu,JP,2020-10-15 03:22:28,33.73,135.98,75.2,53,20,12.75
203,Mari-Turek,RU,2020-10-15 03:22:28,56.79,49.62,48.13,93,74,2.24
204,Samagaltay,RU,2020-10-15 03:22:28,50.6,95.0,35.02,80,98,7.18
205,Saldanha,ZA,2020-10-15 03:22:28,-33.01,17.94,57.2,87,0,8.05
206,Castro,BR,2020-10-15 03:17:35,-24.79,-50.01,63.84,95,100,1.86
207,Lompoc,US,2020-10-15 03:22:29,34.64,-120.46,66.99,72,1,5.12
208,Hamilton,US,2020-10-15 03:20:19,39.18,-84.53,66.99,52,1,10.29
209,Assiniboia,CA,2020-10-15 03:22:18,49.63,-105.98,35.73,74,0,9.42
210,Constitucion,CL,2020-10-15 03:22:29,-35.33,-72.42,53.15,87,0,5.59
211,Pimenta Bueno,BR,2020-10-15 03:22:29,-11.67,-61.19,74.23,86,26,2.98
212,Puerto Escondido,MX,2020-10-15 03:22:29,15.85,-97.07,81.14,80,61,6.04
213,Iqaluit,CA,2020-10-15 03:22:30,63.75,-68.51,33.8,100,90,17.22
214,Campbellton,CA,2020-10-15 03:22:30,48.01,-66.67,43.74,89,13,6.15
215,Vilhena,BR,2020-10-15 03:22:30,-12.74,-60.15,71.69,83,88,4.34
216,Leningradskiy,RU,2020-10-15 03:19:32,69.38,178.42,34.84,85,99,9.04
217,Bar-Le-Duc,FR,2020-10-15 03:22:30,48.75,5.17,46.4,81,90,4.7
218,Ust-Kuyga,RU,2020-10-15 03:22:30,70.02,135.6,22.17,96,100,5.1
219,Natal,BR,2020-10-15 03:22:30,-5.79,-35.21,75.2,88,40,4.7
220,Vung Tau,VN,2020-10-15 03:20:54,10.35,107.08,81.03,84,99,16.37
221,Ayios Vasilios,GR,2020-10-15 03:22:31,37.8,22.8,59.0,58,18,1.99
222,Te Anau,NZ,2020-10-15 03:22:31,-45.42,167.72,52.7,49,0,2.62
223,Fare,PF,2020-10-15 03:22:31,-16.7,-151.02,79.92,76,0,11.16
224,Kisangani,CD,2020-10-15 03:22:31,0.52,25.2,70.34,97,100,1.79
225,Basco,PH,2020-10-15 03:22:31,20.45,121.97,82.44,79,65,28.48
226,Nyurba,RU,2020-10-15 03:22:31,63.28,118.33,26.06,92,90,8.16
227,Sosva,RU,2020-10-15 03:22:32,59.18,61.86,34.52,88,98,4.83
228,Watertown,US,2020-10-15 03:19:28,42.37,-71.18,57.0,71,20,6.93
229,Mataram,ID,2020-10-15 03:22:32,-8.58,116.12,89.6,59,40,13.87
230,Narsaq,GL,2020-10-15 03:22:32,60.92,-46.05,32.0,84,19,6.26
231,Leh,IN,2020-10-15 03:22:32,34.17,77.58,41.36,55,0,3.62
232,Sinnamary,GF,2020-10-15 03:22:32,5.38,-52.95,79.92,82,1,10.83
233,Denia,ES,2020-10-15 03:22:32,38.84,0.11,63.0,50,0,1.99
234,Dasoguz,TM,2020-10-15 03:22:33,41.84,59.97,42.8,60,0,6.93
235,Valle De Allende,MX,2020-10-15 03:22:33,26.93,-105.4,65.79,36,36,2.33
236,Pamfila,GR,2020-10-15 03:22:33,39.16,26.52,62.6,82,40,4.7
237,Aquiraz,BR,2020-10-15 03:22:33,-3.9,-38.39,80.6,78,75,16.11
238,Kumluca,TR,2020-10-15 03:22:33,36.37,30.29,70.56,62,0,2.26
239,Ponca City,US,2020-10-15 03:22:33,36.71,-97.09,73.4,33,1,16.11
240,Sao Joao Da Barra,BR,2020-10-15 03:22:34,-21.64,-41.05,72.99,94,46,7.94
241,Aksu,CN,2020-10-15 03:22:34,41.12,80.26,56.17,35,49,3.74
242,Ranau,MY,2020-10-15 03:22:34,5.95,116.66,82.4,78,40,6.93
243,Cabo Rojo,PR,2020-10-15 03:22:34,18.09,-67.15,78.01,95,86,1.01
244,Hualmay,PE,2020-10-15 03:22:34,-11.1,-77.61,62.85,82,69,8.9
245,Lata,PT,2020-10-15 03:22:34,40.16,-8.33,55.0,100,0,1.12
246,Gopalpur,IN,2020-10-15 03:17:54,19.27,84.92,81.9,84,91,7.31
247,Faanui,PF,2020-10-15 03:22:35,-16.48,-151.75,79.79,75,5,11.97
248,Port Lincoln,AU,2020-10-15 03:19:40,-34.73,135.87,73.11,47,100,13.06
249,Homestead,US,2020-10-15 03:22:35,25.47,-80.48,80.6,74,40,5.82
250,Gao,ML,2020-10-15 03:22:35,16.64,1.64,87.67,15,10,8.97
251,Namibe,AO,2020-10-15 03:19:29,-15.2,12.15,63.9,86,6,3.4
252,Amapa,BR,2020-10-15 03:22:35,1.0,-52.0,74.3,82,0,3.91
253,Salalah,OM,2020-10-15 03:21:51,17.02,54.09,75.2,78,0,4.7
254,Mar Del Plata,AR,2020-10-15 03:19:03,-38.0,-57.56,51.01,76,0,11.41
255,Puerto Leguizamo,CO,2020-10-15 03:22:36,-0.19,-74.78,71.51,95,97,1.21
256,Srbac,BA,2020-10-15 03:22:36,45.1,17.52,46.4,87,100,3.36
257,Fayaoue,NC,2020-10-15 03:22:36,-20.65,166.53,75.15,83,100,15.26
258,Canavieiras,BR,2020-10-15 03:22:36,-15.68,-38.95,73.65,86,20,7.99
259,Jalu,LY,2020-10-15 03:21:44,29.03,21.55,70.61,40,0,8.57
260,Mezen,RU,2020-10-15 03:22:37,65.85,44.24,32.79,93,100,9.86
261,Eyl,SO,2020-10-15 03:22:37,7.98,49.82,80.46,74,99,13.8
262,Waingapu,ID,2020-10-15 03:22:37,-9.66,120.26,89.96,47,83,13.27
263,Chapada Dos Guimaraes,BR,2020-10-15 03:22:37,-15.46,-55.75,80.6,69,2,11.41
264,La Ronge,CA,2020-10-15 03:22:37,55.1,-105.28,28.4,58,75,13.87
265,Flinders,AU,2020-10-15 03:22:37,-34.58,150.86,79.0,62,0,4.0
266,Kruisfontein,ZA,2020-10-15 03:19:21,-34.0,24.73,57.25,37,0,6.96
267,Ampanihy,MG,2020-10-15 03:22:38,-24.7,44.75,61.97,89,14,10.16
